"","compound","field","treatment","date","month","mean_conc"
"258","no3","1","100",2018-03-27,"Mar",0.07
"259","no3","1","100",2018-04-10,"Apr",0
"260","no3","1","100",2018-04-24,"Apr",NA
"261","no3","1","100",2018-05-08,"May",NA
"262","no3","1","100",2018-05-22,"May",0.01
"263","no3","1","100",2018-06-05,"Jun",0
"264","no3","1","100",2018-06-19,"Jun",NA
"265","no3","1","C",2018-03-13,"Mar",1.195
"266","no3","1","C",2018-03-27,"Mar",0.895
"267","no3","1","C",2018-04-10,"Apr",0.52
"268","no3","1","C",2018-04-24,"Apr",0.27
"269","no3","1","C",2018-05-08,"May",0.1675
"270","no3","1","C",2018-05-22,"May",0.09
"271","no3","1","C",2018-06-05,"Jun",0.26
"272","no3","1","C",2018-06-19,"Jun",0.68
"273","no3","1","P",2018-03-13,"Mar",0.246666666666667
"274","no3","1","P",2018-03-27,"Mar",0.115
"275","no3","1","P",2018-04-10,"Apr",0.01
"276","no3","1","P",2018-04-24,"Apr",-0.0025
"277","no3","1","P",2018-05-08,"May",0.1225
"278","no3","1","P",2018-05-22,"May",0.405
"279","no3","1","P",2018-06-05,"Jun",0.06
"280","no3","1","P",2018-06-19,"Jun",NA
"281","no3","2","0",2018-03-13,"Mar",NA
"282","no3","2","0",2018-03-27,"Mar",NA
"283","no3","2","0",2018-04-10,"Apr",0.15
"284","no3","2","0",2018-04-24,"Apr",0.04
"285","no3","2","0",2018-05-08,"May",0.7
"286","no3","2","0",2018-05-22,"May",0
"287","no3","2","0",2018-06-05,"Jun",0
"288","no3","2","0",2018-06-19,"Jun",NA
"289","no3","2","25",2018-03-13,"Mar",NA
"290","no3","2","25",2018-03-27,"Mar",NA
"291","no3","2","25",2018-04-10,"Apr",0.7
"292","no3","2","25",2018-04-24,"Apr",0.54
"293","no3","2","25",2018-05-08,"May",0
"294","no3","2","25",2018-05-22,"May",0.57
"295","no3","2","25",2018-06-05,"Jun",0.57
"296","no3","2","25",2018-06-19,"Jun",NA
"297","no3","2","50",2018-03-13,"Mar",0.28
"298","no3","2","50",2018-03-27,"Mar",0.34
"299","no3","2","50",2018-04-10,"Apr",0.17
"300","no3","2","50",2018-04-24,"Apr",0.08
"301","no3","2","50",2018-05-08,"May",0.05
"302","no3","2","50",2018-05-22,"May",0
"303","no3","2","50",2018-06-05,"Jun",0
"304","no3","2","50",2018-06-19,"Jun",NA
"305","no3","2","75",2018-03-13,"Mar",0.31
"306","no3","2","75",2018-03-27,"Mar",0.47
"307","no3","2","75",2018-04-10,"Apr",0.54
"308","no3","2","75",2018-04-24,"Apr",0.07
"309","no3","2","75",2018-05-08,"May",0
"310","no3","2","75",2018-05-22,"May",0
"311","no3","2","75",2018-06-05,"Jun",0
"312","no3","2","75",2018-06-19,"Jun",0
"313","no3","2","100",2018-03-13,"Mar",NA
"314","no3","2","100",2018-03-27,"Mar",6
"315","no3","2","100",2018-04-10,"Apr",3.61
"316","no3","2","100",2018-04-24,"Apr",1.81
"317","no3","2","100",2018-05-08,"May",2.91
"318","no3","2","100",2018-05-22,"May",2.48
"319","no3","2","100",2018-06-05,"Jun",NA
"320","no3","2","100",2018-06-19,"Jun",NA
"321","no3","2","C",2018-03-13,"Mar",4.10333333333333
"322","no3","2","C",2018-03-27,"Mar",3.6275
"323","no3","2","C",2018-04-10,"Apr",1.60666666666667
"324","no3","2","C",2018-04-24,"Apr",0.793333333333333
"325","no3","2","C",2018-05-08,"May",1.02
"326","no3","2","C",2018-05-22,"May",1.87
"327","no3","2","C",2018-06-05,"Jun",1.4375
"328","no3","2","C",2018-06-19,"Jun",0.496666666666667
"329","no3","2","P",2018-03-13,"Mar",3.8
"330","no3","2","P",2018-03-27,"Mar",3.3475
"331","no3","2","P",2018-04-10,"Apr",1.465
"332","no3","2","P",2018-04-24,"Apr",0.485
"333","no3","2","P",2018-05-08,"May",0.4725
"334","no3","2","P",2018-05-22,"May",0.0933333333333333
"335","no3","2","P",2018-06-05,"Jun",0.106666666666667
"336","no3","2","P",2018-06-19,"Jun",0
"337","no3","3","0",2018-03-13,"Mar",25.08
"338","no3","3","0",2018-03-27,"Mar",22.83
"339","no3","3","0",2018-04-10,"Apr",14.52
"340","no3","3","0",2018-04-24,"Apr",NA
"341","no3","3","0",2018-05-08,"May",NA
"342","no3","3","0",2018-05-22,"May",0.01
"343","no3","3","0",2018-06-05,"Jun",NA
"344","no3","3","0",2018-06-19,"Jun",0.08
