                         CRVO - ET SUMMARY - 2017 
                                                                                                                             
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH 
 04/17 0.06 0.05 0.05 0.05 0.06 0.04 0.06 0.06 0.02 0.02  --   --  0.02  --   --  0.01 0.04  --   --   --  0.06 0.02 0.01  -- 
 04/18 0.14 0.13 0.12 0.11 0.13 0.11 0.14 0.14 0.06 0.05  --   --  0.04  --   --  0.04 0.11  --   --   --  0.13 0.04 0.03  -- 
 04/19 0.07 0.06 0.06 0.06 0.07 0.06 0.07 0.07 0.03 0.02  --   --  0.02  --   --  0.02 0.05  --   --   --  0.07 0.02 0.02  -- 
 04/20 0.12 0.11 0.10 0.10 0.12 0.10 0.12 0.12 0.05 0.04 0.04  --  0.04  --   --  0.03 0.10 0.02 0.02 0.02 0.11 0.04 0.03  -- 
 04/21 0.16 0.15 0.14 0.13 0.15 0.14 0.16 0.16 0.07 0.06 0.05  --  0.05  --   --  0.05 0.13 0.03 0.03 0.03 0.15 0.05 0.04  -- 
 04/22 0.16 0.16 0.14 0.13 0.15 0.14 0.16 0.16 0.08 0.06 0.05  --  0.05  --   --  0.05 0.13 0.03 0.03 0.03 0.15 0.05 0.04  -- 
 04/23 0.09 0.09 0.08 0.07 0.09 0.08 0.09 0.09 0.04 0.03 0.03  --  0.03  --   --  0.03 0.07 0.02 0.02 0.02 0.09 0.03 0.02  -- 
 04/24 0.10 0.10 0.09 0.08 0.10 0.10 0.10 0.10 0.05 0.04 0.03  --  0.03  --   --  0.03 0.08 0.02 0.02 0.03 0.10 0.04 0.03  -- 
 04/25 0.04 0.04 0.03 0.03 0.04 0.04 0.04 0.04 0.02 0.02 0.01  --  0.01 0.01  --  0.01 0.03 0.01 0.01 0.01 0.04 0.02 0.01  -- 
 04/26 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.05 0.04 0.03  --  0.03 0.03  --  0.03 0.08 0.02 0.02 0.03 0.09 0.04 0.03  -- 
 04/27 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.06 0.05 0.03  --  0.04 0.03  --  0.04 0.10 0.02 0.03 0.04 0.10 0.05 0.03  -- 
 04/28 0.13 0.13 0.11 0.10 0.13 0.13 0.13 0.13 0.08 0.06 0.04  --  0.04 0.04  --  0.05 0.11 0.03 0.04 0.05 0.12 0.06 0.04  -- 
 04/29 0.14 0.14 0.12 0.11 0.14 0.14 0.14 0.14 0.09 0.06 0.04  --  0.05 0.04  --  0.06 0.12 0.03 0.04 0.06 0.13 0.06 0.05  -- 
 04/30 0.13 0.13 0.11 0.10 0.13 0.13 0.13 0.13 0.08 0.06 0.04  --  0.04 0.04  --  0.06 0.12 0.03 0.04 0.06 0.12 0.06 0.05  -- 
 05/01 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.07 0.05 0.03 0.02  --  0.02 0.02  --  0.03 0.06 0.02 0.02 0.03 0.07 0.03 0.03  -- 
 05/02 0.10 0.10 0.09 0.08 0.10 0.10 0.10 0.10 0.07 0.05 0.03  --  0.03 0.03  --  0.05 0.09 0.03 0.04 0.05 0.10 0.05 0.04  -- 
 05/03 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.13 0.09 0.06  --  0.06 0.05  --  0.09 0.17 0.05 0.07 0.09 0.17 0.10 0.07  -- 
 05/04 0.19 0.19 0.16 0.15 0.18 0.19 0.19 0.19 0.14 0.10 0.07  --  0.07 0.06  --  0.10 0.18 0.05 0.08 0.10 0.18 0.10 0.08  -- 
 05/05 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.07 0.05 0.03 0.03 0.03 0.03 0.03 0.05 0.09 0.03 0.04 0.05 0.09 0.05 0.04  -- 
 05/06 0.16 0.16 0.14 0.13 0.15 0.16 0.16 0.16 0.12 0.09 0.06 0.05 0.06 0.05 0.05 0.09 0.15 0.05 0.07 0.10 0.15 0.09 0.08  -- 
 05/07 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.14 0.10 0.07 0.05 0.06 0.06 0.05 0.10 0.17 0.05 0.08 0.11 0.17 0.11 0.09  -- 
 05/08 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.17 0.12 0.08 0.06 0.08 0.07 0.06 0.12 0.20 0.06 0.10 0.14 0.20 0.13 0.11  -- 
 05/09 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.16 0.12 0.08 0.06 0.07 0.06 0.06 0.12 0.19 0.06 0.10 0.14 0.19 0.13 0.11  -- 
 05/10 0.19 0.19 0.16 0.15 0.18 0.19 0.19 0.19 0.16 0.11 0.08 0.06 0.07 0.06 0.06 0.12 0.18 0.06 0.10 0.14 0.18 0.13 0.11 0.03
 05/11 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.08 0.05 0.04 0.03 0.03 0.03 0.03 0.06 0.09 0.03 0.05 0.07 0.09 0.06 0.05 0.01
 05/12 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.08 0.06 0.04 0.03 0.03 0.03 0.03 0.06 0.09 0.03 0.05 0.07 0.09 0.06 0.06 0.01
 05/13 0.08 0.08 0.07 0.06 0.08 0.08 0.08 0.08 0.07 0.05 0.04 0.03 0.03 0.03 0.02 0.05 0.08 0.03 0.05 0.06 0.08 0.06 0.05 0.01
 05/14 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.12 0.08 0.06 0.04 0.05 0.04 0.04 0.08 0.12 0.05 0.08 0.11 0.12 0.09 0.09 0.02
 05/15 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.12 0.09 0.06 0.05 0.05 0.04 0.04 0.08 0.12 0.05 0.08 0.11 0.12 0.10 0.09 0.02
 05/16 0.15 0.15 0.13 0.12 0.14 0.15 0.15 0.15 0.14 0.10 0.07 0.05 0.06 0.05 0.05 0.10 0.14 0.06 0.09 0.13 0.14 0.11 0.11 0.03
 05/17 0.12 0.12 0.10 0.10 0.11 0.12 0.12 0.12 0.11 0.08 0.06 0.04 0.05 0.04 0.04 0.08 0.11 0.05 0.08 0.11 0.11 0.09 0.09 0.02
 05/18 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.17 0.13 0.09 0.07 0.08 0.06 0.06 0.12 0.17 0.07 0.12 0.17 0.17 0.14 0.15 0.03
 05/19 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.20 0.15 0.11 0.08 0.10 0.07 0.07 0.14 0.20 0.08 0.14 0.20 0.20 0.17 0.18 0.04
 05/20 0.16 0.16 0.14 0.13 0.15 0.16 0.16 0.16 0.15 0.12 0.09 0.06 0.08 0.06 0.05 0.10 0.15 0.06 0.11 0.16 0.15 0.13 0.14 0.03
 05/21 0.28 0.28 0.24 0.22 0.26 0.28 0.28 0.28 0.27 0.21 0.16 0.12 0.14 0.10 0.09 0.18 0.27 0.11 0.20 0.28 0.27 0.23 0.25 0.06
 05/22 0.33 0.33 0.28 0.26 0.31 0.33 0.33 0.33 0.32 0.25 0.19 0.14 0.16 0.12 0.11 0.21 0.31 0.13 0.23 0.33 0.31 0.27 0.30 0.07
 05/23 0.28 0.28 0.24 0.22 0.26 0.28 0.28 0.28 0.28 0.22 0.17 0.13 0.14 0.10 0.09 0.18 0.27 0.11 0.20 0.28 0.27 0.24 0.26 0.06
 05/24 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.22 0.17 0.14 0.10 0.11 0.08 0.07 0.14 0.21 0.09 0.16 0.22 0.21 0.19 0.21 0.05
 05/25 0.23 0.23 0.20 0.18 0.21 0.23 0.23 0.23 0.23 0.18 0.14 0.11 0.12 0.09 0.08 0.15 0.22 0.09 0.16 0.23 0.22 0.20 0.22 0.06
 05/26 0.27 0.27 0.23 0.22 0.25 0.27 0.27 0.27 0.27 0.22 0.17 0.14 0.15 0.11 0.09 0.18 0.26 0.11 0.19 0.27 0.26 0.23 0.27 0.07
 05/27 0.26 0.26 0.22 0.21 0.24 0.26 0.26 0.26 0.26 0.21 0.17 0.14 0.14 0.10 0.09 0.17 0.25 0.11 0.19 0.26 0.25 0.23 0.26 0.07
 05/28 0.21 0.21 0.18 0.17 0.19 0.21 0.21 0.21 0.21 0.17 0.14 0.12 0.12 0.09 0.07 0.14 0.20 0.09 0.15 0.21 0.20 0.18 0.21 0.06
