                         CRVO - ET SUMMARY - 2019 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 04/25 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.15 0.10 0.07 0.06 0.07 0.06  --  0.07 0.16 0.04 0.05 0.06 0.19 0.13 0.10  --  0.08 0.06 0.04 0.18
 04/26 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.14 0.09 0.07 0.05 0.06 0.06  --  0.07 0.14 0.04 0.05 0.06 0.17 0.12 0.09  --  0.08 0.06 0.04 0.16
 04/27 0.15 0.15 0.13 0.12 0.15 0.15 0.15 0.15 0.12 0.08 0.06 0.05 0.05 0.05  --  0.06 0.12 0.03 0.04 0.05 0.14 0.10 0.08  --  0.07 0.05 0.03 0.14
 04/28 0.23 0.23 0.20 0.18 0.22 0.23 0.23 0.23 0.19 0.12 0.09 0.07 0.08 0.07  --  0.09 0.19 0.05 0.07 0.09 0.22 0.16 0.12  --  0.10 0.08 0.05 0.22
 04/29 0.31 0.31 0.26 0.25 0.30 0.31 0.31 0.31 0.26 0.17 0.12 0.09 0.11 0.10  --  0.13 0.26 0.07 0.10 0.13 0.29 0.22 0.17  --  0.14 0.11 0.08 0.30
 04/30 0.28 0.28 0.24 0.22 0.27 0.28 0.28 0.28 0.24 0.16 0.11 0.08 0.10 0.09  --  0.12 0.24 0.07 0.09 0.12 0.27 0.20 0.16  --  0.13 0.10 0.07 0.27
 05/01 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.17 0.12 0.08 0.06 0.07 0.06  --  0.09 0.17 0.05 0.07 0.09 0.19 0.15 0.12  --  0.10 0.07 0.05 0.20
 05/02 0.15 0.15 0.13 0.12 0.15 0.15 0.15 0.15 0.13 0.09 0.06 0.05 0.06 0.05  --  0.07 0.13 0.04 0.06 0.07 0.14 0.11 0.09  --  0.07 0.06 0.04 0.15
 05/03 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.18 0.12 0.08 0.06 0.08 0.06  --  0.10 0.18 0.05 0.08 0.10 0.19 0.15 0.13  --  0.10 0.07 0.06 0.20
 05/04 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.18 0.12 0.09 0.06 0.08 0.07  --  0.10 0.18 0.05 0.08 0.11 0.19 0.16 0.14  --  0.10 0.08 0.06 0.20
 05/05 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.20 0.14 0.10 0.07 0.09 0.07 0.07 0.12 0.20 0.06 0.09 0.13 0.21 0.17 0.16 0.04 0.12 0.08 0.07 0.23
 05/06 0.24 0.24 0.20 0.19 0.23 0.24 0.24 0.24 0.23 0.15 0.11 0.08 0.09 0.08 0.07 0.13 0.22 0.07 0.11 0.15 0.23 0.19 0.18 0.04 0.13 0.09 0.08 0.25
 05/07 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.19 0.13 0.10 0.07 0.08 0.07 0.06 0.11 0.18 0.06 0.09 0.13 0.19 0.16 0.16 0.03 0.11 0.08 0.07 0.21
 05/08 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.19 0.13 0.10 0.07 0.08 0.07 0.06 0.12 0.19 0.06 0.10 0.13 0.19 0.16 0.16 0.03 0.11 0.08 0.07 0.21
 05/09 0.37 0.37 0.31 0.30 0.35 0.37 0.37 0.37 0.36 0.25 0.19 0.13 0.16 0.13 0.11 0.22 0.35 0.11 0.19 0.26 0.35 0.31 0.30 0.06 0.21 0.16 0.13 0.38
 05/10 0.26 0.26 0.22 0.21 0.25 0.26 0.26 0.26 0.25 0.18 0.14 0.09 0.11 0.09 0.08 0.16 0.25 0.08 0.14 0.19 0.25 0.22 0.22 0.05 0.15 0.11 0.09 0.27
