                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 04/13 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.11 0.07 0.05 0.04  --  0.04 0.04  --  0.03 0.08 0.03 0.04 0.05 0.11 0.07 0.05  --  0.04  --   --  0.08
 04/14 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.07 0.05 0.03  --  0.04 0.03  --  0.03 0.08 0.03 0.04 0.05 0.10 0.06 0.05  --  0.04  --   --  0.08
 04/15 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.12 0.08 0.05 0.04  --  0.04 0.04  --  0.04 0.08 0.03 0.05 0.06 0.11 0.07 0.05  --  0.04 0.02 0.02 0.09
 04/16 0.15 0.15 0.13 0.12 0.15 0.15 0.15 0.15 0.10 0.07 0.05  --  0.05 0.05  --  0.05 0.11 0.04 0.06 0.08 0.14 0.09 0.07  --  0.05 0.02 0.02 0.11
 04/17 0.26 0.26 0.22 0.21 0.25 0.26 0.26 0.25 0.18 0.12 0.09  --  0.09 0.08  --  0.09 0.19 0.07 0.11 0.14 0.25 0.16 0.12  --  0.09 0.05 0.04 0.20
 04/18 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.16 0.10 0.08  --  0.07 0.07  --  0.08 0.17 0.06 0.09 0.13 0.21 0.14 0.11  --  0.08 0.04 0.03 0.17
 04/19 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.13 0.09 0.06  --  0.06 0.05  --  0.07 0.14 0.05 0.08 0.11 0.17 0.12 0.09  --  0.07 0.04 0.03 0.15
 04/20 0.19 0.19 0.16 0.15 0.18 0.19 0.19 0.19 0.14 0.10 0.07 0.06 0.07 0.06  --  0.07 0.15 0.06 0.09 0.12 0.18 0.13 0.10  --  0.07 0.04 0.03 0.16
 04/21 0.17 0.17 0.14 0.14 0.16 0.17 0.17 0.17 0.13 0.09 0.06 0.05 0.06 0.05  --  0.07 0.14 0.05 0.08 0.11 0.16 0.12 0.09  --  0.07 0.04 0.03 0.14
 04/22 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.12 0.10 0.06 0.04 0.04 0.04 0.04  --  0.05 0.10 0.04 0.06 0.08 0.11 0.08 0.07  --  0.05 0.03 0.02 0.10
 04/23 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.07 0.06 0.04 0.03 0.02 0.03 0.02  --  0.03 0.06 0.02 0.04 0.05 0.07 0.05 0.04  --  0.03 0.02 0.01 0.06
 04/24 0.08 0.08 0.07 0.06 0.08 0.08 0.08 0.08 0.07 0.04 0.03 0.02 0.03 0.03  --  0.04 0.07 0.03 0.04 0.06 0.08 0.06 0.05  --  0.03 0.02 0.02 0.07
 04/25 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.12 0.10 0.07 0.05 0.04 0.04 0.04 0.04 0.06 0.10 0.04 0.07 0.09 0.11 0.09 0.08  --  0.05 0.04 0.03 0.11
 04/26 0.10 0.10 0.09 0.08 0.10 0.10 0.10 0.10 0.09 0.06 0.04 0.03 0.04 0.03 0.03 0.05 0.09 0.03 0.06 0.08 0.10 0.07 0.07  --  0.04 0.03 0.02 0.09
 04/27 0.10 0.10 0.09 0.08 0.10 0.10 0.10 0.10 0.09 0.06 0.04 0.03 0.04 0.03 0.03 0.05 0.09 0.03 0.06 0.08 0.10 0.08 0.07  --  0.04 0.03 0.02 0.09
 04/28 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.08 0.05 0.04 0.03 0.03 0.03 0.03 0.05 0.08 0.03 0.05 0.07 0.09 0.07 0.06  --  0.04 0.03 0.02 0.09
 04/29 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.08 0.06 0.04 0.03 0.04 0.03 0.03 0.05 0.08 0.03 0.05 0.08 0.09 0.07 0.07  --  0.04 0.03 0.02 0.09
 04/30 0.16 0.16 0.14 0.13 0.15 0.16 0.16 0.16 0.15 0.10 0.07 0.05 0.06 0.05 0.05 0.09 0.14 0.06 0.10 0.14 0.15 0.13 0.12  --  0.08 0.06 0.04 0.16
 05/01 0.32 0.32 0.27 0.26 0.31 0.32 0.32 0.32 0.30 0.21 0.15 0.11 0.13 0.11 0.10 0.18 0.29 0.12 0.20 0.29 0.30 0.26 0.25 0.05 0.16 0.12 0.09 0.32
 05/02 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.21 0.14 0.11 0.08 0.09 0.07 0.07 0.13 0.20 0.08 0.14 0.20 0.21 0.18 0.18 0.04 0.11 0.08 0.06 0.22
 05/03 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.12 0.09 0.06 0.05 0.06 0.04 0.04 0.08 0.12 0.05 0.09 0.12 0.12 0.11 0.11 0.02 0.07 0.05 0.04 0.13
 05/04 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.09 0.06 0.05 0.03 0.04 0.03 0.03 0.05 0.08 0.04 0.06 0.09 0.09 0.07 0.08 0.02 0.05 0.03 0.03 0.09
 05/05 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.19 0.14 0.10 0.07 0.09 0.07 0.06 0.12 0.19 0.08 0.14 0.20 0.19 0.17 0.17 0.03 0.11 0.08 0.06 0.21
 05/06 0.27 0.27 0.23 0.22 0.26 0.27 0.27 0.27 0.27 0.19 0.14 0.10 0.12 0.09 0.08 0.17 0.26 0.11 0.19 0.27 0.26 0.23 0.24 0.05 0.15 0.11 0.09 0.28
 05/07 0.29 0.29 0.25 0.23 0.28 0.29 0.29 0.29 0.29 0.21 0.16 0.11 0.14 0.10 0.09 0.19 0.28 0.12 0.20 0.29 0.28 0.25 0.26 0.05 0.16 0.12 0.10 0.30
 05/08 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.13 0.10 0.07 0.05 0.06 0.05 0.04 0.08 0.12 0.05 0.09 0.13 0.12 0.11 0.12 0.02 0.07 0.05 0.04 0.13
 05/09 0.17 0.17 0.14 0.14 0.16 0.17 0.17 0.17 0.17 0.13 0.10 0.07 0.08 0.06 0.05 0.11 0.16 0.07 0.12 0.17 0.16 0.15 0.16 0.03 0.10 0.07 0.06 0.18
 05/10 0.29 0.29 0.25 0.23 0.27 0.29 0.29 0.29 0.29 0.22 0.17 0.12 0.15 0.11 0.09 0.19 0.28 0.12 0.21 0.29 0.28 0.25 0.28 0.06 0.17 0.13 0.11 0.30
 05/11 0.29 0.29 0.25 0.23 0.27 0.29 0.29 0.29 0.29 0.22 0.18 0.12 0.15 0.11 0.09 0.19 0.28 0.12 0.21 0.29 0.28 0.26 0.28 0.06 0.17 0.13 0.11 0.30
 05/12 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.20 0.16 0.12 0.09 0.11 0.08 0.06 0.13 0.19 0.08 0.14 0.20 0.19 0.18 0.20 0.04 0.12 0.09 0.08 0.21
 05/13 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.21 0.17 0.13 0.09 0.11 0.08 0.07 0.14 0.20 0.09 0.15 0.21 0.20 0.19 0.21 0.04 0.13 0.10 0.08 0.22
 05/14 0.05 0.05 0.04 0.04 0.05 0.05 0.05 0.05 0.05 0.04 0.03 0.02 0.03 0.02 0.02 0.03 0.05 0.02 0.04 0.05 0.05 0.04 0.05 0.01 0.03 0.02 0.02 0.05
 05/15 0.08 0.08 0.07 0.06 0.07 0.08 0.08 0.08 0.08 0.07 0.05 0.04 0.04 0.03 0.03 0.05 0.08 0.03 0.06 0.08 0.08 0.07 0.08 0.02 0.05 0.04 0.03 0.08
 05/16 0.12 0.12 0.10 0.10 0.11 0.12 0.12 0.12 0.12 0.10 0.08 0.06 0.07 0.05 0.04 0.08 0.11 0.05 0.09 0.12 0.11 0.11 0.12 0.03 0.08 0.06 0.05 0.13
 05/17 0.22 0.22 0.19 0.18 0.20 0.22 0.22 0.22 0.22 0.18 0.15 0.11 0.13 0.10 0.08 0.14 0.21 0.09 0.16 0.22 0.21 0.20 0.22 0.06 0.14 0.12 0.10 0.23
 05/18 0.21 0.21 0.18 0.17 0.19 0.21 0.21 0.21 0.21 0.18 0.15 0.11 0.12 0.09 0.07 0.14 0.20 0.09 0.15 0.21 0.20 0.19 0.21 0.06 0.14 0.11 0.10 0.22
 05/19 0.14 0.14 0.12 0.11 0.13 0.14 0.14 0.14 0.14 0.12 0.10 0.08 0.08 0.06 0.05 0.09 0.13 0.06 0.10 0.14 0.13 0.13 0.14 0.04 0.09 0.08 0.07 0.15
 05/20 0.14 0.14 0.12 0.11 0.13 0.14 0.14 0.14 0.14 0.12 0.10 0.08 0.09 0.07 0.05 0.09 0.13 0.06 0.10 0.14 0.13 0.13 0.14 0.04 0.10 0.08 0.07 0.15
