Site,Date,probe,soil_moisture,temp_C
L015,3/23/15 8:34,5TM Moisture/Temp,0.345 m³/m³,11.3 °C
L015,3/30/15 8:50,5TM Moisture/Temp,0.335 m³/m³,11.9 °C
L015,4/6/15 8:16,5TM Moisture/Temp,0.331 m³/m³,12.2 °C
L015,4/20/15 8:16,5TM Moisture/Temp,0.330 m³/m³,12.3 °C
L015,4/27/15 7:08,5TM Moisture/Temp,0.327 m³/m³,12.8 °C
L015,5/4/15 7:58,5TM Moisture/Temp,0.325 m³/m³,13.5 °C
L015,4/13/15 9:27,5TM Moisture/Temp,0.330 m³/m³,12.0 °C
L015,5/11/15 7:50,5TM Moisture/Temp,0.325 m³/m³,14.1 °C
L015,5/18/15 13:36,5TM Moisture/Temp,0.323 m³/m³,14.3 °C
L015,5/26/15 7:57,5TM Moisture/Temp,0.319 m³/m³,14.7 °C
L015,6/8/15 7:58,5TM Moisture/Temp,0.310 m³/m³,15.6 °C
L015,6/15/15 8:31,5TM Moisture/Temp,0.297 m³/m³,16.7 °C
